participantCode,participantEmail,sessionName,sessionOrder,taskType,taskVersion,trialNumber,stimulus,expectedResponse,actualResponse,correct,reactionTimeMs,summary_totalCorrect,summary_totalTrials,completedAt,summary_totalTaps,summary_durationSeconds,summary_accuracy,summary_meanReactionTimeMs,summary_demoCompleted,summary_sequence,summary_roundsCompleted,summary_totalCorrectSequences,summary_overallAccuracy,summary_conditionsCompleted
"CV-10BCA1","participant5@test.com","Session 1","1","fingerTap","v1","2","41324","41324","413244132441324413244132441324413243","true",,,,"2026-05-08T22:24:07.620Z",,,,,,"41324","2","13","1",
"CV-10BCA1","participant5@test.com","Session 1","1","fingerTap","v1","1","41324","41324","4132441324413244132441324413244132441324413244132441324413244132441324413244132441324","true",,,,"2026-05-08T22:30:54.544Z",,,,,,"41324","2","21","1",
"CV-10BCA1","participant5@test.com","Session 1","1","fingerTap","v1","2","41324","41324","41324413244132441324","true",,,,"2026-05-08T22:30:54.544Z",,,,,,"41324","2","21","1",
"CV-153738","participant-nback@test.com","Session 1","1","avlt","v1","1",,,"drum","true",,"3","5","2026-05-08T23:22:52.077Z",,,,,,,,,,
"CV-153738","participant-nback@test.com","Session 1","1","avlt","v1","2",,,"bell","true",,"3","5","2026-05-08T23:22:52.077Z",,,,,,,,,,
"CV-153738","participant-nback@test.com","Session 1","1","avlt","v1","3",,,"coffee","true",,"3","5","2026-05-08T23:22:52.077Z",,,,,,,,,,
"CV-153738","participant-nback@test.com","Session 1","1","fingerTap","v1","1","41324","41324","41324413244132441324413244132441324413244132441324413244132441324413244132441324","true",,,,"2026-05-08T23:23:26.776Z",,,,,,"41324","2","17","1",
"CV-153738","participant-nback@test.com","Session 1","1","fingerTap","v1","2","41324","41324","41324","true",,,,"2026-05-08T23:23:26.776Z",,,,,,"41324","2","17","1",
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","1","0-back:J","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","2","0-back:S","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","3","0-back:B","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","4","0-back:T","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","5","0-back:G","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","6","0-back:N","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","7","0-back:G","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","8","0-back:Q","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","9","1-back:X","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","10","1-back:P","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","11","1-back:K","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","12","1-back:R","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","13","1-back:D","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","14","1-back:T","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","15","1-back:X","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","16","1-back:V","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","17","2-back:Q","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","18","2-back:N","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","19","2-back:S","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","20","2-back:V","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","21","2-back:B","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","22","2-back:H","2",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","23","2-back:B","1",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
"CV-153738","participant-nback@test.com","Session 1","1","nback","v1","24","2-back:H","1",,"false",,"0","24","2026-05-08T23:26:09.065Z",,,"0",,,,,,,"3"
